,EX.UL,OLI.1,AST,OPC,EX.DL1,IN.VIP,EX.DL2,IN-PV,EX.NRGN,OLI.2,MGL,IN.SST,EX.NRG1,IN.SV2C,EX.DL3,END/PER,EX.DL4
AC011287.1,1.296658694,-0.509311366,-0.491885363,-0.447698968,-0.017281153,-0.470614858,0.414025619,-0.463263383,-0.394615814,-0.510716714,-0.465374199,-0.464085268,0.754619353,-0.448881287,0.579751633,-0.443994875,-0.427226229
CBLN2,1.375398199,-0.47735351,-0.472784091,-0.452067902,-0.171319961,-0.360052284,-0.266425348,-0.448020766,-0.186451202,-0.462342531,-0.45644281,-0.256117251,0.989272828,-0.464951155,0.145591619,-0.438996611,-0.455944048
HS6ST3,1.235764645,-0.794666655,-0.75999997,0.525071096,-0.209100479,0.366921075,-0.119446303,0.486242703,-0.309750168,-0.77864012,-0.754460765,-0.511478323,0.544271463,-0.497791379,-0.276804213,-0.700098182,0.879984516
IQCJ-SCHIP1,1.109676069,-0.522716556,-0.778397534,-0.743000238,1.035638953,-0.419351992,0.865097294,0.029950376,-0.753430149,-0.176763582,-0.815667704,-0.184061779,0.667480881,-0.528859373,-0.189982945,-0.724073879,-0.288822958
LINC02306,1.151538861,-0.355205955,-0.346439226,-0.34324375,0.366536486,-0.337467917,-0.307262159,-0.339883626,-0.317793511,-0.346091062,-0.308820246,-0.340949994,0.081853653,-0.343914095,-0.320427132,-0.329705643,-0.338564895
TAFA1,1.14822188,-0.651027226,-0.177026983,0.145361377,0.017033525,-0.418972518,0.953465953,-0.592537205,-0.421602086,-0.636577554,-0.576287819,-0.623837828,0.418211835,-0.616389121,-0.345873746,-0.560824524,-0.534556094
CUX2,1.299074905,-0.435533482,-0.428428516,-0.345145548,-0.140910941,-0.405835488,-0.358240533,0.341117158,-0.25818144,-0.429955948,-0.417428538,0.161046395,-0.389690592,-0.365657481,-0.394929552,-0.377904588,-0.388625182
KCNIP4,1.094262617,-0.929859937,-0.951922482,0.62576238,0.985097858,0.045860715,0.951238732,-0.485025847,-0.715557135,-0.970331435,-0.894475589,-0.313007655,1.063308997,-0.089549728,0.43842274,-0.808810364,-0.860404969
AC034268.2,1.028890514,-0.413252413,-0.401503403,-0.395234717,0.385407149,-0.364676545,-0.09955716,-0.373535908,-0.350801045,-0.404329759,-0.388582484,-0.367933015,1.005206456,-0.375101585,0.235895286,-0.368242864,-0.265323472
LINC01378,1.152901356,-0.40786754,-0.405201554,-0.405503568,-0.080041778,-0.34346207,0.628650645,-0.367616859,-0.322060227,-0.406547961,-0.394980531,-0.381895047,-0.078167951,-0.389266582,0.077845878,-0.37530557,-0.392092661
AC013287.1,1.245691706,-0.444704333,-0.481692838,-0.34627177,0.066172523,-0.451958756,0.591072961,-0.405834856,-0.441551007,-0.432904894,-0.484836968,-0.435922291,-0.15709895,-0.473148532,-0.030462651,-0.442677418,1.527580628
DGKB,1.206317357,-0.75208234,-0.59579782,-0.234959771,-0.399893823,0.316965227,0.431069939,-0.212466929,-0.436928903,-0.751953766,-0.721197293,-0.321072888,0.671667819,0.820188702,0.414301489,-0.199543901,0.298361847
LRRTM4,0.995046976,-0.951356401,-0.660514636,0.870349627,0.37228721,0.049908647,0.569242326,0.634700958,-0.824446551,-0.98043663,-1.009611289,-0.002167655,0.41451729,-0.549914898,0.821517641,-0.928088108,-1.003597694
AJ009632.2,1.007109508,-0.323416862,-0.321993826,-0.312360215,-0.162852471,-0.308894241,0.25083322,-0.291929301,-0.170389237,-0.316375303,-0.254281816,-0.30544462,-0.022936553,-0.300786851,-0.178852562,-0.27797569,-0.30158567
CDH18,1.10471109,-0.751818868,-0.738727826,-0.341347107,0.657452998,-0.068768101,0.257433606,0.315262258,-0.539717212,-0.746432914,-0.721025463,-0.030232378,0.380419702,-0.214137687,1.002125585,-0.672957846,1.252122359
LINC02263,0.994340609,-0.362802265,-0.361687318,-0.359031651,-0.109866538,-0.352134809,0.839252299,-0.354840692,-0.284050215,-0.359045718,-0.349528553,-0.358935648,-0.289335076,-0.354057161,0.290467291,-0.347281268,-0.351740749
AL117329.1,1.010476354,-0.49683227,-0.490504212,-0.48669488,0.828682595,-0.469676631,0.540565171,-0.461395177,-0.426520347,-0.475045906,-0.473552713,-0.475072198,0.972877607,-0.469657772,0.201096775,-0.463464574,-0.338688768
LINC02055,0.943400776,-0.33722398,-0.327256894,-0.28514362,0.154512076,-0.209364721,0.219808259,-0.300055189,-0.236070363,-0.342604281,-0.314198187,-0.293175857,-0.15688863,-0.312245212,-0.099099167,-0.27798173,-0.254631184
LINGO2,1.012882041,-0.733445924,-0.726806672,-0.716817279,0.908641754,0.718292033,0.454409463,-0.552894092,-0.612274232,-0.728357074,-0.702374068,-0.182748169,0.467886727,0.855364093,0.629730313,-0.636260969,1.106888464
LDB2,1.083526102,-0.727292878,-0.722015918,-0.513006968,0.972464059,-0.48462742,0.803504897,-0.069532802,-0.237086958,-0.70304486,-0.715169396,-0.700376407,0.845960022,-0.337664018,0.766566161,-0.225406707,1.075766119
R3HDM1,1.006013772,-0.650146918,-0.609808086,-0.413534964,0.706233589,-0.260816066,0.739662017,-0.010120347,-0.618388425,-0.523192082,-0.59003089,-0.295647762,0.653846641,-0.144153664,0.434916184,-0.596786301,-0.123275415
AL157944.1,1.105966293,-0.375814344,-0.377115854,-0.375716786,0.007807579,-0.316173037,0.099658463,-0.339661385,-0.310440919,-0.370399681,-0.366564723,-0.349980917,0.346670114,-0.363151364,0.151226082,-0.355192327,-0.352484588
DLGAP2,1.015877448,-0.828059196,-0.761253611,-0.79438664,0.820942891,-0.129270383,0.65201926,0.773297267,-0.549549948,-0.810792744,-0.778232308,0.220249108,0.853713784,-0.239534961,0.840290783,-0.692672545,0.672304166
AC107223.1,0.949732264,-0.496609587,-0.454183412,-0.107489665,0.485233211,-0.049895105,-0.032239329,-0.228731654,-0.486817609,-0.454436244,-0.544932247,-0.369405943,0.192730309,0.322296948,0.473981015,-0.511161355,-0.272000348
LINC01250,1.038133428,-0.515099651,-0.487282077,-0.483165845,0.343794658,-0.270802228,0.340175751,-0.127159843,-0.45474203,-0.505671294,-0.497073255,-0.179201675,0.710352193,-0.25718895,0.365287994,-0.478448093,-0.114030211
EPHA6,0.877320441,-0.643706432,-0.045867791,-0.548291613,-0.491238423,0.331566389,0.133052101,1.164786384,-0.517006672,-0.64352942,-0.603689175,0.624365787,-0.590060498,0.353661315,-0.353498531,-0.586391352,-0.60381013
LINC02822,0.909768386,-0.340158172,-0.321923654,-0.321500757,-0.064413591,-0.1382136,-0.025223566,-0.323341253,-0.195632589,-0.348976275,-0.325299737,-0.335823547,0.364423643,-0.316759904,0.098690507,-0.290026264,1.426484032
GRIA4,0.947670925,-0.524011728,-0.746609588,0.131228644,-0.216920881,-0.049414619,-0.02050289,0.92384764,-0.455572796,-0.464383342,-0.814942278,-0.465245102,0.251509927,1.260920019,-0.357467142,-0.739672174,0.7989255
RGS6,1.052421988,-0.658237082,-0.500822914,-0.643664805,0.089885846,0.437107831,0.840413389,-0.513911503,-0.514108913,-0.648530875,-0.627983811,0.395202721,0.655887845,-0.44706999,0.042573444,-0.156686511,0.012706524
MLIP,0.976724809,-0.501557872,-0.498458758,-0.488235132,0.926394237,-0.450604307,0.40555926,-0.480571851,-0.412778591,-0.490727842,-0.484390838,-0.481775196,0.765872109,-0.481162923,0.871142715,-0.426601993,0.188318538
STXBP5L,1.030026043,-0.92601499,-0.881309496,-0.204552024,0.677619845,0.070063794,0.909871598,0.192229001,-0.526134026,-0.908217446,-0.897037287,0.138916678,0.85330708,0.135625337,0.945417747,-0.822354793,0.366256946
AC008574.1,1.139093183,-0.306249096,-0.303154378,-0.304387752,-0.025198265,-0.2349616,-0.274668931,-0.294089022,-0.274726906,-0.307931256,-0.297996934,-0.297251624,-0.212990119,-0.289842715,-0.270630426,-0.287904029,-0.144786208
MEG3,0.906305567,-1.0362475,-1.024703838,0.048222439,0.51432002,0.714151287,0.692671114,0.727127096,-0.831642527,-1.125492564,-1.006995122,0.44254416,0.904369978,0.518033868,0.928095072,-0.868157085,1.001604294
NDST3,0.988463452,-0.469136713,-0.522703449,-0.5196134,-0.034009583,-0.16874719,0.508104352,0.667388478,-0.33509477,-0.432009682,-0.507510684,-0.138252011,-0.097943416,-0.468447774,0.072626769,-0.498616716,0.052855518
TESPA1,1.056867029,-0.408594753,-0.40048151,-0.407295916,-0.067558823,-0.404568802,-0.320796315,-0.394477659,0.49358826,-0.419113652,-0.38925043,-0.399126073,0.836719349,-0.40028674,0.407765684,-0.346941399,-0.402840019
ENC1,0.861617431,-0.553545948,-0.526517218,-0.512096231,-0.165777848,-0.247487009,0.410974369,-0.532730407,1.676019022,-0.573324937,-0.47425597,-0.438746075,0.780044052,-0.49931432,0.288085826,-0.386987206,-0.109892787
CDH12,0.981743714,-0.643242038,-0.63706552,-0.620459975,0.385553191,0.015396553,0.026929243,0.327182794,-0.509936281,-0.639199461,-0.614457441,0.629076848,1.475063461,-0.574453168,0.470326713,-0.589160523,-0.401817175
LINC00507,0.98657332,-0.280906078,-0.275038718,-0.280039486,-0.225921009,-0.275653211,-0.150695532,-0.272354099,0.038145344,-0.287446397,-0.274996671,-0.271621003,0.040347192,-0.271386228,-0.260080466,-0.244042007,-0.278859385
KCNH1,0.809396364,-0.481392603,-0.713183786,-0.669993651,0.942598456,-0.044596526,0.468075194,0.448661138,-0.492969434,-0.281562889,-0.692438413,-0.126286203,0.426973643,0.085431896,-0.24433874,-0.660128741,0.174832384
KCTD16,0.902586809,-0.778476667,-0.705577263,-0.0209556,0.443990392,-0.027209202,-0.285746701,0.377142218,-0.193240136,-0.767031568,-0.756992286,0.556802498,1.263025951,0.84920901,-0.150357278,-0.698895643,-0.233582276
HOMER1,0.705761783,-0.570222214,-0.497429565,-0.291253344,0.426644986,-0.176621069,0.212452694,0.060941115,0.03548138,-0.566456876,-0.426906547,0.00542621,0.804265787,-0.094227592,0.605987946,-0.425268377,0.490791031
LINC01331,0.872363996,-0.258318994,-0.253505961,-0.252056014,-0.237901021,-0.235377018,-0.092076126,-0.244010624,-0.127270061,-0.254803167,-0.230559129,-0.235642888,0.324488693,-0.249945309,-0.189089159,-0.21683948,-0.257377329
AL008633.1,0.845409598,-0.649986335,-0.65254644,-0.458170422,0.445014454,-0.230195593,0.554569212,0.107205347,-0.601324843,-0.614819368,-0.00816096,0.255451011,0.988384485,-0.336954674,0.842697238,-0.458009005,0.279607836
SYN3,1.007292958,-0.628484274,-0.609006929,-0.155668466,0.317770769,0.234068989,-0.046880683,0.065281797,-0.571979002,-0.589231862,-0.605337849,-0.145672934,1.081751243,0.376789654,-0.267868053,-0.58947933,-0.483849779
PHACTR1,0.84557119,-0.797849883,-0.458259065,-0.608589141,0.554812453,0.030799744,1.167618903,-0.173249501,-0.578487039,-0.678837589,-0.714047415,-0.170141182,0.804158974,0.244746402,1.046102941,-0.589523223,0.710393261
CACNA2D3,0.914139636,-0.791378889,-0.3954967,-0.122620464,0.219173826,0.361035597,0.55063073,-0.641465857,-0.656636244,-0.770983461,-0.749603373,0.822824524,0.846927455,-0.513992473,1.066253202,-0.282750598,-0.176157105
CA10,0.858433585,-0.560757557,-0.553856628,1.718869245,-0.228213028,-0.439764138,-0.131906755,-0.539294842,-0.123306201,-0.554269181,-0.537423048,-0.520058528,0.822179945,-0.505445318,-0.209044097,-0.489518401,0.087119386
FAM153CP,0.830923612,-0.577328585,-0.510695664,-0.542085217,0.283998714,0.202034422,0.278032244,0.201222894,-0.531286296,-0.582059937,-0.562814548,0.303512225,0.671603597,-0.008683746,0.566579487,-0.539652981,0.387202501
SORBS2,0.849585355,-0.711082939,-0.689509834,-0.058110151,0.515424307,-0.180605391,-0.110026314,0.271979837,-0.4134878,-0.702183628,-0.681290271,0.564133821,0.761750511,-0.172986093,1.291511334,0.311696387,0.670226221
PLEKHA5,0.863713292,-0.718581276,-0.60889697,-0.408542816,0.373328982,0.414853192,0.25621552,0.347038909,-0.66463154,-0.681067478,-0.637867127,0.193075302,0.728401824,0.072726412,0.783848748,-0.248499221,0.273866297
SLIT3,0.731577732,-0.400549728,-0.397568753,-0.393029645,-0.199774183,-0.270316989,0.643114703,-0.296347771,-0.205702394,-0.395599589,-0.388066581,-0.384677789,0.981162224,-0.264191788,1.261907714,-0.088196531,0.381744139
GPC6,0.69847323,-0.595817686,-0.395169311,0.874116149,-0.155339043,-0.409155754,0.149951718,0.340882726,-0.538397345,-0.595840711,-0.565802711,0.958616626,0.025818216,-0.273241411,-0.397511921,-0.302066809,0.758355138
KIAA1211L,0.907203957,-0.478211891,-0.474104829,-0.43026019,0.435357647,-0.44998235,0.399337182,-0.430475262,-0.144188841,-0.478702069,-0.30854,-0.193550117,0.923382548,-0.463649897,0.678497746,-0.386482447,-0.237843262
LY86-AS1,0.879046171,-0.450468404,-0.441021225,-0.446859151,0.778101157,-0.424061828,0.523476398,-0.427206295,-0.315812861,-0.441595578,-0.333903409,-0.435547777,0.705993622,-0.434964063,-0.038942992,-0.416692643,0.814509114
AC093607.1,0.712661135,-0.279812353,-0.272529937,-0.270092912,0.671277126,-0.263447471,-0.163503672,-0.232559163,-0.253554837,-0.275742795,-0.277382235,-0.270058094,0.360692573,-0.266497916,-0.2335042,-0.26411323,-0.254972141
ST6GALNAC5,0.947646726,-0.670977665,-0.451319336,-0.665093619,0.508665578,-0.438779413,0.924268237,0.100640337,-0.413617541,-0.630831545,-0.639027766,0.843560167,0.38011722,-0.207558478,-0.322591929,-0.625874837,0.441149453
KHDRBS2,0.858584759,-0.790690822,-0.844174524,-0.4426706,1.225754284,0.094192005,0.646133438,0.612844714,-0.722197513,-0.76472437,-0.767826764,-0.104488427,0.946147011,-0.441868984,0.744477883,-0.755597719,1.052904727
ADGRL2,0.866376122,-0.735509254,-0.719266454,-0.718243312,1.119356984,-0.172964523,0.330884308,0.285205348,-0.537697136,-0.72672966,-0.702720978,0.817885373,0.996824173,0.697087236,-0.127084436,-0.199045542,-0.319571594
KCTD1,0.792661628,-0.412819964,-0.30194747,-0.272311462,0.207561457,-0.236394053,0.134333615,-0.336232678,-0.225077885,-0.263885076,-0.544371969,-0.40585676,0.790854685,-0.021905559,0.680471547,-0.465982939,-0.445050165
ASIC2,0.805358008,-0.703583592,-0.691885219,-0.21462871,0.254298961,0.708498861,0.228287828,0.460598912,-0.573120565,-0.69726639,-0.677233513,-0.174427391,0.307128467,-0.510925694,1.707190423,-0.646753384,2.167767888
AL591501.1,0.816762463,-0.498135535,-0.489857779,-0.492342423,0.469906559,-0.029781385,0.30063873,-0.039460372,-0.439718709,-0.489679265,-0.480884276,0.003152029,1.029611748,-0.457525197,0.521166803,-0.433602463,-0.199814337
PDZD2,0.817608133,-0.336191727,-0.507539087,1.232682648,-0.476566918,-0.254739428,-0.454061437,-0.502560945,-0.530795701,-0.017802397,-0.628704997,-0.568635871,0.565700293,0.432612763,-0.058101486,0.35314129,-0.479045805
CACNG3,0.749015158,-0.52768047,-0.519989633,-0.504617667,0.137262301,-0.188467727,0.257681291,-0.047783335,0.050263123,-0.515305873,-0.502229498,0.438517297,0.654400959,0.444984814,0.640060294,-0.489602858,0.455988582
SATB2,0.873758751,-0.503305578,-0.484144532,-0.568488699,0.94468937,-0.580064391,0.662560303,-0.572242333,-0.168018939,-0.469818243,-0.491485259,-0.578169992,1.12982302,-0.572693577,0.720621537,-0.436212814,0.81757313
AC110614.1,0.79828216,-0.294420119,-0.280360914,-0.289373579,0.271601011,-0.275033161,0.218917931,-0.091043363,-0.280749926,-0.296781569,-0.297545852,-0.217772909,-0.168943971,-0.278489573,-0.12579001,-0.281764894,-0.272468227
FAT3,0.799639066,-0.678014203,0.231184564,-0.425243282,0.326852111,-0.214558212,0.820893648,-0.586481908,-0.195384665,-0.670350226,-0.625783168,-0.12202059,0.423129562,-0.47069349,0.349388341,-0.590319901,-0.295333607
TAFA2,0.7032058,-0.737384161,-0.697772825,0.110667611,1.139098296,0.066831309,0.678008363,1.082682684,-0.567622162,-0.724736148,-0.69581469,-0.143146523,-0.409811888,-0.207046499,-0.058180337,-0.66813942,-0.120469077
AC007563.2,0.748565151,-0.415171009,-0.323362779,-0.012911285,0.197763769,0.164084594,-0.17546152,-0.373231535,-0.389354553,-0.403177457,-0.390248013,-0.288324021,0.768989977,0.1077601,0.265510817,-0.373721746,-0.393955571
LINC01090,0.63206418,-0.207819165,-0.201345748,-0.194244279,-0.16669926,-0.156706331,0.135144433,-0.166131553,-0.092566762,-0.218380656,-0.195826917,-0.180191369,0.085842711,-0.182237242,-0.111243303,-0.15097206,-0.177268058
MIR137HG,0.753053386,-0.513440217,-0.511419238,-0.482897903,0.552960915,-0.173312028,0.653735736,-0.412639119,-0.439908062,-0.500215188,-0.503202759,0.004972786,1.014899198,-0.246665612,1.149931089,-0.47679331,0.304716357
ANO3,0.687312372,-0.450764065,-0.449455903,-0.286656952,0.866697303,-0.436095241,0.609462557,-0.427495181,0.070069364,-0.452113552,-0.429615319,-0.44308457,0.502761298,-0.429333228,0.430308784,0.144661528,-0.097873825
RALYL,0.98863293,-0.803971699,-0.799400767,-0.456289204,1.203686101,-0.555894867,1.168748987,-0.711068681,-0.572941087,-0.800091569,-0.774263113,0.45636201,1.204387698,-0.010907759,1.359537906,-0.725077363,0.353454484
COL24A1,0.669745101,-0.313316807,-0.302364383,-0.301838518,-0.190437828,-0.270599524,0.214714338,-0.227163676,-0.246283227,-0.316786001,-0.299242474,-0.138837006,0.852867661,-0.287637348,1.051756092,0.042593373,-0.12969986
DLGAP1-AS4,0.622228969,-0.403855837,-0.394337844,-0.332365598,0.672716613,-0.261602632,0.360355353,-0.060299228,-0.214867166,-0.408639892,-0.392621314,-0.227888444,0.783006225,-0.229972304,0.207332162,-0.357728922,-0.329272108
CDH9,0.829746693,-0.561255769,-0.554370383,-0.557811774,-0.112978549,0.320649701,-0.445090559,0.691154369,-0.481151716,-0.562878788,-0.544651337,1.413662478,0.652101799,-0.141046128,0.439003471,-0.524607235,0.232716795
FSTL4,0.701132817,-0.550655246,-0.507512989,-0.527065192,1.189683582,-0.318910309,1.200736028,-0.098116182,-0.414986792,-0.544160013,-0.520035622,-0.456729586,0.733434109,-0.507957859,0.189529702,-0.491378552,-0.438744539
AC117453.1,0.664656564,-0.236984671,-0.230701495,-0.174668044,0.115145157,-0.159505795,0.058131148,-0.215835877,-0.089985056,-0.240399322,-0.223134864,-0.230336437,-0.065399057,-0.2231122,-0.1008226,-0.181460221,-0.142230557
TMEM132D,0.837200435,-0.727933053,-0.73160079,0.541493571,-0.022362812,0.0684561,0.307421498,0.088490578,-0.551427303,-0.648903257,-0.714729405,-0.218648496,1.162296172,1.28020807,0.016092427,-0.668225772,-0.377020267
MAN1A1,0.649990844,-0.434383209,-0.34214482,-0.423564872,0.510149126,-0.128476979,0.226176368,-0.399993973,-0.286920218,-0.438195753,0.363442804,0.542389002,-0.136938502,-0.421712569,0.331679575,0.025710236,0.335052828
GRM1,0.699691351,-0.480755142,-0.408079759,-0.476254998,0.625390387,0.060742649,0.313894362,-0.434731631,-0.374919992,-0.483415401,-0.467480049,0.73338733,1.026888331,-0.450315441,-0.149472057,-0.462045203,-0.223365798
CDH22,0.838670365,-0.327704393,-0.31161944,-0.251089334,0.031001882,-0.234585309,-0.015249363,-0.234041036,0.029217717,-0.312746116,-0.307533266,-0.260437409,0.189450879,-0.146526833,-0.09920355,-0.301654303,0.052659649
AC067956.1,0.72975652,-0.43468621,-0.427988979,-0.426698642,1.022045433,-0.390578403,0.439251158,-0.408655733,-0.368029726,-0.414092376,-0.426373752,-0.423149214,1.205059853,-0.405708145,0.295880385,-0.406124281,-0.362969816
COL5A2,0.734060916,-0.300442508,-0.179147951,-0.265212106,0.232765978,-0.205788925,-0.186793724,-0.254484518,-0.053695534,-0.299929484,-0.294307474,-0.291437955,-0.200213452,0.115424129,0.400340593,-0.012625177,-0.268805652
AC019211.1,0.686882419,-0.439318646,-0.43345851,-0.430750966,1.090174197,-0.387358516,0.478351716,-0.414967079,-0.392746429,-0.420754,-0.425219158,-0.426078778,1.344921543,-0.412544213,0.354931703,-0.412962995,-0.379451834
LINC02296,0.774914574,-0.265035996,-0.260388397,-0.254651632,0.376798882,-0.247137072,-0.060514451,-0.197862773,-0.219871253,-0.253975433,-0.252216411,-0.216732344,-0.103675307,-0.249913359,-0.193845592,-0.225784024,-0.241638055
GULP1,0.771435127,-0.352999804,-0.342930343,-0.387956388,-0.270391288,0.163433917,0.267326037,0.014529738,-0.275224034,-0.325512666,-0.387528711,0.023797872,0.387282683,-0.186855714,-0.219336105,0.071752547,-0.369913029
DOK6,0.479429499,-0.586016774,-0.583843178,0.019830812,0.025298859,0.327065924,0.242760535,0.557081802,-0.326686212,-0.576438659,-0.568144132,0.175933696,0.814328186,0.690645258,0.89137191,-0.389017161,-0.433590067
AL391840.1,0.712913939,-0.315968193,-0.476579626,-0.005348426,0.530614143,-0.296297668,0.440239231,-0.459586982,-0.425534814,-0.309818224,-0.482013445,-0.360187002,0.700669881,-0.486488985,0.332885322,-0.462743204,0.078890338
LINC01122,0.689789342,-0.370120212,-0.580305012,-0.370392239,0.020024166,-0.162243975,0.744183894,-0.323109295,-0.529909663,-0.302117232,-0.560931996,0.772741885,0.358845102,-0.2426091,1.235345183,-0.53803685,0.474901082
OLFM3,0.774130498,-0.631514054,-0.628736931,-0.62963432,0.97119853,0.346716609,0.764437191,-0.351706322,-0.189633414,-0.630961832,-0.608717208,-0.457142067,0.421440189,-0.486479424,1.230549675,-0.563035898,1.723558029
NELL2,0.815915146,-0.717590147,-0.662608322,-0.559859077,1.113061405,-0.018490016,0.809295888,-0.520851099,0.146147114,-0.727266869,-0.670036471,-0.300158309,1.082819094,-0.546770796,1.040525176,-0.649210597,0.66130096
ZNF804B,0.575366301,-0.505180326,-0.364585644,-0.384260438,0.634274376,0.198504414,-0.297005847,0.274542809,-0.43478122,-0.499142986,-0.4857602,-0.301334093,1.684770459,0.246619844,0.350116021,-0.44541884,-0.459291855
BASP1-AS1,0.6788085,-0.536343146,-0.526435373,-0.15160274,0.7217038,-0.010303603,0.649363789,-0.429214145,-0.331825169,-0.525277852,-0.516311026,-0.281768802,0.74676443,-0.452310794,0.898204213,-0.487233015,0.765242889
KCNH7,0.643156766,-0.65826503,-0.651048562,-0.62691288,0.244917053,0.55138146,1.29080991,0.421101982,-0.542948188,-0.65668091,-0.63260661,-0.362691282,0.826884047,0.08859605,0.694414201,-0.611026349,0.794776873
GRM7,0.72443117,-0.771948771,-0.748156185,0.875815965,0.855120199,0.749747095,0.802514023,-0.29667618,-0.718201484,-0.81093904,-0.818368449,0.037477372,0.119845233,-0.411978167,-0.34509088,-0.785109485,-0.160271037
AP000829.1,0.897193618,-0.273899042,-0.271117206,-0.270241035,-0.038025918,-0.254384362,-0.137553811,-0.24583469,-0.250897872,-0.267924022,-0.266571303,-0.251522761,0.302026244,-0.260308283,-0.082820413,-0.19367958,-0.241934603
FAM153B,0.734937547,-0.471199022,-0.439634182,-0.45461431,0.332041896,-0.002125076,0.49491062,-0.055935241,-0.443012539,-0.472512888,-0.461574426,0.149148014,0.443532899,-0.151327904,0.5640337,-0.429695578,0.441662251
SLC35F3,0.601005817,-0.56298462,-0.618885754,-0.061565831,0.599895649,0.111731559,0.299111862,0.080143652,-0.448808136,-0.440252819,-0.574389221,-0.138595167,1.232487563,-0.214422127,0.514177561,-0.575176715,1.07422503
PTK2B,0.852255256,-0.40257759,-0.360890017,-0.448311434,0.159985424,-0.283469694,0.090434484,-0.419814124,0.229474468,-0.355450204,-0.162274528,-0.328949822,0.698373933,-0.414813649,0.348173403,-0.386685709,-0.372834594
KCNIP4-IT1,0.637348872,-0.417989471,-0.410161946,-0.011376769,0.50687676,-0.123702912,0.488305637,-0.317083125,-0.377223276,-0.408278707,-0.401130173,-0.247267875,0.802542302,-0.258810743,0.04156994,-0.396489739,-0.399870019
PTPRR,0.589920273,-0.528987383,-0.526031758,-0.520906545,0.290672696,0.022049391,0.592959133,-0.064059787,-0.384513346,-0.527612596,-0.510295302,0.652888864,0.68082297,0.127164489,1.105059092,-0.485323117,1.233171791
CABP1,0.820160395,-0.606525965,-0.59252946,-0.475184931,0.498913649,-0.284688855,0.823770983,-0.263615601,0.249815518,-0.622342458,-0.575375708,-0.447948436,0.978604489,-0.165643107,0.810377751,-0.54283512,0.059026602
COL26A1,0.702710158,-0.385755752,-0.368383559,-0.3608337,0.316952431,-0.103047012,0.362773559,-0.10207686,-0.127510934,-0.374866733,-0.36206674,-0.159638612,0.289847924,-0.253788575,0.105401598,-0.168898788,-0.093500367
CPNE8,0.594891614,-0.458455286,-0.067646873,-0.296810506,0.220383547,-0.264621309,0.482574268,-0.162732268,-0.224651864,-0.464524342,-0.369046538,-0.06186127,-0.040844042,0.020754144,0.740981827,0.385776354,-0.277114561
ZFPM2,0.635747387,-0.559252042,-0.306918473,1.17262089,0.35762585,-0.221477035,-0.013738408,-0.070909827,-0.568083653,-0.600176343,-0.637914446,-0.570573115,0.185537114,-0.61705309,1.13165954,-0.039647267,-0.202907205
UNC5D,0.671468413,-0.754795324,-0.477467262,-0.569918449,1.150465286,-0.138604782,0.609030705,0.861068867,-0.578895903,-0.740449998,-0.716043826,0.028572224,0.449245605,1.280045877,-0.47062065,-0.677088605,-0.035273386
CNTN4,0.641323943,-0.779020752,-0.766940441,-0.248490539,0.326600017,0.902774521,0.091841465,0.768704763,-0.583133517,-0.771421576,-0.74292057,0.58044546,1.169642574,0.273112085,0.07323626,-0.317567286,1.144431215
AC008696.2,0.705691521,-0.307343862,-0.296612044,-0.292736402,-0.129809737,-0.26016862,0.350532567,-0.253665067,-0.289820315,-0.315286132,-0.300810896,-0.259586314,0.597144702,-0.275681207,0.845898475,-0.281670264,0.228207802
ARHGAP10,0.45556695,-0.326134687,-0.30226167,0.707308513,-0.036827457,-0.133083936,-0.008143913,-0.173436664,-0.249380169,-0.325186092,-0.286452902,0.059812749,-0.070384838,-0.248716406,-0.017773801,1.06995617,-0.15153345
SV2B,0.700613999,-0.509747201,-0.585614829,-0.587519762,0.749292633,-0.535865894,0.843877952,-0.571872156,0.674546844,-0.374470997,-0.565460041,-0.579733214,0.993629489,-0.575576816,1.071737357,-0.507788076,0.656898012
PTPRO,0.67975032,-0.559128361,-0.556051293,0.005226526,0.181786486,0.434496994,-0.117483848,-0.159711358,-0.38437842,-0.558585079,-0.367480012,0.570537715,0.657475163,0.597811973,0.080645469,-0.520795258,0.034997828
FRMPD4,0.757443585,-0.865466789,-0.797950902,-0.84149255,0.651652528,0.572976922,1.225850769,0.403585165,-0.546925667,-0.854372018,-0.828355677,0.34893558,0.637208626,0.307409005,1.416967681,-0.798653338,0.820695631
RFTN1,0.633791175,-0.39308917,-0.292572394,-0.384560443,0.598085498,-0.160790887,0.235545415,-0.336391296,-0.07594765,-0.388821402,-0.196073729,-0.318739106,0.552825042,-0.19461545,0.035879925,0.16397984,-0.158774113
GLRA3,0.706610722,-0.317151512,-0.310071649,-0.306477989,-0.123575294,-0.122870635,0.313837024,-0.290979118,0.253898375,-0.31383246,-0.291241301,-0.091548083,0.0110527,-0.206575346,0.20048212,-0.283931863,-0.287924274
AQP4-AS1,0.625248058,-0.480271388,0.228396712,-0.201124492,0.273050108,-0.404078669,0.251816577,-0.435891623,-0.443685903,-0.44567477,-0.472653429,-0.424674704,0.812099418,-0.066129155,0.886678383,-0.463203094,-0.439669535
SNTB2,0.549658086,-0.329374686,-0.1780462,-0.255273659,0.1364004,-0.166886848,0.002382294,-0.157710426,-0.229406244,-0.271976462,-0.32628972,-0.14051725,0.952346878,-0.028669002,0.299356582,-0.235030569,-0.220722553
