,EX.UL,OLI.1,AST,OPC,EX.DL1,IN.VIP,EX.DL2,IN-PV,EX.NRGN,OLI.2,MGL,IN.SST,EX.NRG1,IN.SV2C,EX.DL3,END/PER,EX.DL4
ATP6V1G2,0.172718128,-0.307000451,-0.303341423,-0.287093183,0.285450565,-0.024079063,0.414889598,0.087216584,0.885038068,-0.364771174,-0.314826099,-0.044162376,0.224947746,0.110373838,0.059091373,-0.26806393,0.046535334
GALNT14,0.031189473,-0.272282469,-0.279453936,-0.221652843,0.284007555,0.298041648,0.132467953,0.008789907,-0.226656761,-0.253062969,-0.275850373,0.867980112,1.081996346,0.062960086,0.057853189,-0.23034345,0.92561591
MIR4300HG,-0.106141767,-0.204292128,0.928321521,0.231360261,-0.168663078,0.475989944,-0.224913985,-0.234204237,-0.271545056,-0.248959159,-0.212167481,-0.261156606,-0.081738642,-0.059279337,-0.209300991,-0.24966302,-0.253674137
TPI1,0.180128077,-0.301019137,-0.230045331,-0.275533595,0.266046456,-0.096142697,0.316398741,0.154420637,0.869814553,-0.429359071,-0.298612721,-0.060231175,0.241789919,-0.01848608,0.05719248,0.059540882,-0.006802962
AL445623.2,0.025775146,-0.322950755,-0.321732649,-0.319123057,0.17429396,0.203979618,0.306038013,1.057144313,-0.298849845,-0.321242589,-0.106515924,0.943185295,0.229779494,0.151177648,0.049656106,-0.305866152,-0.147888503
OAZ1,0.134623065,-0.302243497,-0.366180632,-0.304773146,0.261024008,0.016011049,0.408356273,0.050360995,1.085069141,-0.504074466,-0.182656416,-0.056288744,0.284932368,0.131589705,0.134137724,0.010656099,0.236580443
DNAH14,0.204652971,-0.319929577,-0.307672971,-0.15777801,0.385028534,0.587558901,0.472083966,-0.285837597,-0.283813303,-0.325804322,-0.30424048,-0.065018245,0.512977144,0.064784674,0.627754408,-0.197758626,-0.180655172
AC124854.1,0.281881276,-0.327096878,-0.248563177,0.144210644,0.44499484,-0.004261397,0.388598857,-0.078175848,-0.272085234,-0.327506918,-0.316572031,-0.088664203,0.343578109,-0.120062346,0.376163866,-0.109211828,-0.312347408
AL356295.1,0.249496757,-0.262638076,-0.254162574,-0.244125059,2.080782781,-0.158253454,-0.206785654,-0.184409935,-0.215792053,-0.265295781,-0.253541872,-0.168135803,-0.09040358,-0.239779441,-0.200208043,-0.225802086,-0.224885136
CNTNAP3B,-0.129061875,-0.303642231,0.259179099,-0.238162769,-0.12832246,0.025236327,-0.085358358,1.729253986,-0.266327123,-0.305066876,-0.288083691,0.235682797,0.205469395,-0.264214764,0.568420911,0.111055472,-0.13302228
HSPB1,0.103171141,-0.251150438,0.302640774,0.033803873,-0.028420536,0.040829129,-0.129513596,0.065958811,-0.043810089,-0.318697561,0.025583559,-0.015689945,0.033647313,0.027286188,-0.171982516,0.696650638,-0.169136116
CKB,0.164778763,-0.351788844,0.565380224,-0.445235417,0.086618048,-0.086883019,0.147397612,0.104048727,0.793918745,-0.618749982,-0.604004513,-0.244285061,0.144507785,0.112074704,-0.035858201,-0.553075764,-0.008469065
TUBA4A,0.175139536,-0.32833339,-0.281022318,-0.346369849,0.304772534,-0.09012104,0.391857499,0.052814138,0.923976102,-0.393701503,-0.302310669,-0.050918477,0.3728968,-0.034909208,0.356776443,-0.201336388,0.248101384
PFN2,0.169102061,-0.315157534,-0.278877032,-0.307139323,0.48385178,-0.126620322,0.482377372,-0.05451007,0.931206043,-0.387021864,-0.354182839,-0.110712265,0.315808899,-0.089533056,0.173424352,-0.241880068,0.109875141
ENO1,-0.007190602,-0.270003231,0.379463979,-0.06001905,0.10352495,-0.082910177,0.124049977,0.032260169,0.455777544,-0.325037989,-0.191553447,-0.138199629,0.093301315,-0.004594517,0.022702655,-0.208881395,0.072515843
RASGRP1,0.114440768,-0.258464742,-0.211704757,-0.244812037,0.057784394,-0.189487001,0.279279824,-0.157486607,0.540751693,-0.270241995,-0.218077371,-0.148727712,0.901507427,0.25448235,1.050315,-0.22211669,0.234511805
COL19A1,0.204888971,-0.299516731,-0.291814495,-0.158615623,0.123212247,0.052680842,-0.047722445,0.080156724,-0.22772236,-0.303512303,-0.287584024,1.216061425,0.928334504,-0.273684257,0.572478974,-0.261336524,-0.236583137
AFF2,0.09278719,-0.316235735,-0.315689909,-0.085216859,-0.121263434,0.456816195,0.004026299,0.804020032,-0.228086035,-0.304900776,-0.312508254,0.340705024,0.60924896,0.649606777,0.142982096,-0.246869013,-0.183834494
CEND1,0.176778423,-0.393863771,-0.326516404,-0.286378165,0.20045665,-0.018569243,0.519634674,0.43439463,0.732054447,-0.438417179,-0.415023233,-0.069665314,0.324633594,0.356525325,0.167862437,-0.347381479,0.207275993
PHACTR2,0.091410648,-0.302477297,-0.143022082,-0.366838779,-0.202123678,-0.153241298,0.645285036,0.501195401,-0.232235366,-0.232534953,0.265012371,0.671755482,0.012572102,0.426858248,0.00982728,0.403140631,0.230611203
ZFPM2-AS1,0.260162711,-0.307389557,-0.243979781,0.604791353,0.096942981,-0.08946961,-0.076660026,0.099949419,-0.317855502,-0.335057982,0.542872687,-0.258067474,-0.011808155,-0.294983884,0.480026635,-0.078919249,-0.17063503
LINC01748,-0.107428172,-0.268059357,1.321253286,0.009621722,-0.104831737,-0.219252795,-0.130985109,-0.26591726,-0.222721828,-0.2632836,-0.222824943,-0.263066468,0.052806871,-0.174254096,0.389026488,-0.235343351,-0.035012299
CDH7,-0.137353461,-0.295311943,-0.291147768,-0.213143714,0.352481215,0.214727911,0.922451825,0.822192116,-0.162348416,-0.294915532,-0.288311465,0.876999229,-0.164270726,-0.282864241,0.005365605,-0.264707811,0.880310677
LDHA,0.074745289,-0.302953861,-0.260186315,-0.295771791,0.266697885,0.054940374,0.381418797,0.101590365,0.880364234,-0.341517976,-0.219785824,0.067035572,0.172903514,0.085739695,0.134136073,-0.02768279,0.305382387
NEFM,0.176233791,-0.262941036,-0.271655247,-0.293913616,-0.035210732,-0.243286425,0.209213267,-0.07275732,1.805856852,-0.300906753,-0.253670579,-0.21452327,0.261157358,-0.271222689,0.182608429,-0.175145362,0.03833191
MLLT11,0.182447478,-0.345943114,-0.34674292,-0.277499172,0.36037165,-0.023228511,0.468952483,0.056495711,0.804374918,-0.416132304,-0.312206832,0.040792432,0.341151525,0.035567444,0.163012621,-0.253740543,0.23418042
DGKH,0.140723586,-0.292232914,-0.298698271,0.092767375,0.368580546,-0.01482714,0.138733804,-0.080077978,-0.054125583,-0.24612548,-0.243036204,0.049733101,0.412479531,0.154544703,0.81654889,0.616957365,-0.002704266
EGR1,0.154774077,-0.233066872,-0.166455337,-0.112017218,0.24266693,-0.113875586,0.214729652,-0.125595539,0.575832106,-0.250806355,-0.183747839,0.014943515,0.138953703,-0.088085449,0.201259203,0.129533775,-0.08842074
HUNK,0.047932029,-0.29876865,-0.181669232,-0.027665245,0.006101932,0.085974251,0.061931016,0.994348617,-0.196805293,-0.296122203,-0.297997014,0.658809483,-0.03389535,0.554950202,0.082694047,-0.284760954,-0.151482435
BEX3,0.150623769,-0.368026395,-0.427920874,-0.262844902,0.295503184,0.104722614,0.36033609,0.241682627,1.167837763,-0.55167788,-0.491115914,0.192720614,0.207661495,0.273338407,0.089460578,-0.234993268,0.220806647
AC027288.3,0.316654977,-0.393429799,-0.375138978,-0.344307795,0.325603338,-0.085577025,0.489904919,0.410382343,-0.373912361,-0.406506543,-0.389641773,0.612507329,0.503591122,0.374123659,0.313230962,-0.27821115,0.345089959
ADAMTSL1,0.288658792,-0.266918936,-0.259051489,-0.242100371,0.030053585,-0.118797414,0.44783455,-0.187123959,-0.256125471,-0.274695656,-0.262571915,0.073820138,-0.031507404,-0.236627852,2.422224202,-0.230698867,1.699178749
CNTN6,0.141093607,-0.293376071,-0.240219617,-0.023438202,0.028603595,0.605348617,-0.044046485,0.27733697,-0.214904935,-0.297219277,-0.287915018,0.073197866,0.893878171,-0.133915019,-0.089784492,-0.020860348,0.71334509
AC092422.1,-0.008106539,-0.291947347,-0.250618703,-0.262064093,1.28255302,0.602189849,0.069224847,0.596564488,-0.270995709,-0.291214029,-0.272305531,-0.218753825,-0.186588048,-0.062099834,-0.214657681,-0.272683875,0.804393909
VAMP2,0.184841852,-0.318279853,-0.515742215,-0.464143718,0.388443757,0.109390522,0.486341568,0.224741248,1.048077892,-0.436523834,-0.568549373,0.038814551,0.354087722,0.260434452,0.17971459,-0.3203189,0.25216929
DACH1,-0.060933834,-0.29471728,-0.094243169,-0.223934916,0.049692184,-0.146291678,0.848015684,-0.10750436,-0.102018829,-0.296451367,-0.269802829,-0.233564108,1.418563282,-0.25442876,1.276835822,1.739541009,-0.244573046
SPHKAP,-0.012737852,-0.269822462,-0.266881505,-0.22375298,-0.212487412,-0.092249645,0.710748985,0.202215629,-0.028738892,-0.276190707,-0.263508982,0.560804859,-0.22725202,2.135190027,0.364945554,-0.248692008,1.655539693
VDAC1,0.12556898,-0.30224264,-0.258603128,-0.210009728,0.193131308,0.026727193,0.275852334,0.175143178,0.883157695,-0.329389262,-0.145112261,-0.074006683,0.173272197,-2.71E-05,0.062492749,-0.177009995,0.109157319
FAM3C,0.071412223,-0.325736115,-0.301178063,-0.194002161,0.005553679,0.114087475,0.869450998,0.403035638,0.536072821,-0.285767104,-0.265342262,-0.028506197,-0.022828728,-0.09253812,0.327126469,-0.144401775,-0.064648539
TUBB,0.105480589,-0.317568035,-0.301934994,-0.219404179,0.256090175,0.025166901,0.420087501,-0.046588386,0.902266499,-0.392144026,-0.231621101,0.011252544,0.294189933,0.143223129,0.214238097,-0.003247903,0.289434328
TMEM163,0.090405062,-0.307586307,-0.315486593,1.144569023,-0.08628278,-0.064969533,0.145023027,-0.224294352,-0.114428955,-0.318059116,0.554186365,-0.216585877,0.221020801,-0.267704428,0.273252685,-0.273218,0.096085349
SAMD5,-0.1447999,-0.287539867,-0.266689537,-0.269412926,0.117279974,0.002413153,0.26506098,1.481813284,-0.257361316,-0.286632953,-0.273984805,0.935147352,0.459468858,0.000793321,-0.125959052,0.032895851,1.600251906
PGAM1,0.084243197,-0.297958407,-0.249608079,-0.277905842,0.196304995,0.045060605,0.261380249,0.251951776,0.901100834,-0.315182275,-0.311856001,0.000785998,0.236757603,0.208461626,0.101889507,-0.179455694,0.228126127
AC008691.1,0.020125788,-0.20050197,-0.192666351,-0.191913931,-0.083584141,0.315589725,-0.017377274,-0.174612941,-0.190556181,-0.202342904,2.303230061,-0.184976267,0.019480653,-0.187344651,0.097223677,-0.174162441,-0.14520401
VGF,0.121285027,-0.252819176,-0.24295647,-0.247032119,0.247159528,0.232058372,-0.099314467,0.095612747,0.784881685,-0.231272495,-0.230239646,0.254309617,0.184795594,-0.087556012,-0.041975652,-0.182553228,0.118388267
GNG3,0.188502961,-0.31891827,-0.314260369,-0.230477182,0.213050446,-0.003059419,0.339809831,0.00725175,0.870854016,-0.39059062,-0.280038321,0.134438692,0.203611381,0.11591095,0.114698981,-0.189784834,0.128434409
CALN1,0.264337606,-0.320300972,-0.032275475,-0.332849298,-0.024480348,0.681369898,-0.280579451,0.916823251,-0.413108452,-0.168598833,-0.500403458,-0.471537096,0.530953135,-0.207620932,0.556888202,-0.504870345,-0.013673318
CHGB,0.099124195,-0.30530156,-0.301816198,-0.241724639,0.284200507,0.16323189,0.254811182,0.038873469,0.887203807,-0.315753006,-0.285462598,0.065572989,0.289846071,0.094249979,0.100428044,-0.263240544,0.231090035
NAP1L2,0.158416512,-0.35355626,-0.345765909,-0.301908766,0.302360885,0.007881443,0.478651274,0.199308276,0.780869533,-0.364657242,-0.35078135,0.102543426,0.24416247,0.097360685,0.206145065,-0.283607908,0.238982676
GHR,0.011190432,-0.332962995,-0.292796114,0.513203303,0.061614049,-0.179183028,0.621976173,0.701431763,-0.319345744,-0.326219813,-0.334949456,0.109543535,-0.144747967,-0.120010351,0.579765184,0.232577104,1.889020413
NRP1,0.141142644,-0.31873308,0.612567558,-0.291880822,-0.198476585,-0.055419771,0.034328196,-0.261349916,-0.216141386,-0.318280063,0.403381048,-0.200714061,0.061265992,-0.299048993,0.905269261,0.662613617,0.108364638
PCP4,0.041597624,-0.227996652,-0.205972477,-0.202704614,-0.166051869,0.213344363,1.06316608,-0.234200656,0.775587146,-0.298606598,-0.203484368,-0.220845017,-0.189961802,-0.202471529,0.044345743,-0.130533549,1.951178107
TTTY14,0.19318417,-0.378306245,-0.116775309,0.214765994,0.100987046,0.211312962,0.120176812,0.229739816,-0.573156728,-0.24880779,-0.252260074,0.261037716,0.272507073,0.277571119,0.29103468,-0.133742488,0.301619919
NGRN,0.161706725,-0.393618263,-0.388250278,-0.399574039,0.367616576,0.090298404,0.594310454,0.172585333,0.934396688,-0.442726247,-0.420803202,0.068275806,0.279024068,0.22009613,0.156777722,-0.286627666,0.225714724
AC091885.2,0.257049644,-0.38043048,-0.213943424,0.186855507,0.406036989,0.314311798,0.622958018,-0.242613825,-0.360118906,-0.383807736,-0.370876564,0.044715311,0.271775011,-0.331009943,0.208256911,-0.348808589,0.08613379
PARM1,0.150175871,-0.345325462,-0.361570932,-0.33926779,0.56028425,0.561552795,0.544159026,0.452486545,0.183227482,-0.336154184,-0.326040196,-0.039585236,-0.12193433,-0.136348499,-0.106303198,-0.29499708,-0.212764562
ATP8B4,0.059827098,-0.236369604,-0.241536936,-0.241086001,-0.033032533,-0.024347074,-0.12470566,-0.014062517,-0.234472237,-0.232447705,2.975721831,-0.196873637,-0.054218568,-0.063657246,0.059629908,-0.229807963,-0.028260801
PCSK1N,0.148973823,-0.348980748,-0.392787477,-0.105161006,0.197293358,0.100453062,0.186108854,0.232404284,0.970213529,-0.434251418,-0.384117611,0.038790909,0.428838301,0.272801649,0.083695181,-0.328152066,0.034768076
LRRK1,0.22729236,-0.360084898,-0.354153136,-0.270534171,0.40366974,-0.286984301,1.283275058,-0.215595196,-0.202901533,-0.359862339,1.349976396,-0.256324979,0.047290319,-0.340104708,-0.241337082,-0.296537293,-0.190374551
LINC02389,0.211843279,-0.377230641,-0.323681345,-0.369774494,0.734114983,-0.014911051,0.186394769,0.866008346,-0.253503117,-0.371711958,-0.331046908,0.371790599,0.250223854,-0.128837142,0.18126843,-0.351609306,0.563377232
ANKRD34C-AS1,0.326366876,-0.398281702,-0.397405357,-0.392526251,0.432170104,-0.24931301,0.674803233,0.76356574,-0.296203804,-0.396516859,-0.389117288,0.169918776,0.35639248,-0.226573834,0.697578659,-0.380974961,0.673132629
MGST1,0.006264294,-0.303322822,1.215968537,-0.189901803,-0.022594059,-0.231283229,-0.083189254,-0.267650682,-0.205868525,-0.309744881,-0.251206477,-0.254579768,0.285569052,-0.243028281,0.291093615,-0.255688516,-0.029780072
ESRRG,0.018426734,-0.294976072,0.384936601,0.320010516,-0.130503837,-0.034712728,0.079312876,0.693667084,-0.60729061,-0.416950319,-0.469744222,-0.126482205,0.645585056,0.062543616,0.206246136,-0.577682707,0.029296001
CHGA,0.20235781,-0.371305998,-0.386351267,-0.392452616,0.449625341,-0.135385341,0.83978575,0.112455977,0.753753555,-0.392410288,-0.357547122,-0.108845743,0.325941715,-0.042841401,0.350051166,-0.335899447,-0.163304969
EIF4A2,0.219828644,-0.423768135,-0.474265039,-0.419418238,0.377281034,0.129813285,0.547510533,0.131692239,1.038189764,-0.558203729,-0.384968882,0.106984077,0.252055181,0.172536535,0.335454753,-0.191140078,0.343365243
SNCA,0.309399688,-0.271679011,-0.609152506,-0.321651795,0.622686406,-0.292637945,0.705956614,-0.585448552,0.809084801,-0.283099636,-0.056671878,-0.25291706,0.707016888,-0.379781522,0.497204362,-0.495999577,0.621559705
SCG5,0.159913576,-0.30823843,-0.496648343,-0.282750506,0.208952905,0.196043081,0.333381009,0.052814779,1.082555547,-0.330450337,-0.460522092,0.172354755,0.29630834,0.253886658,0.157366645,-0.403528842,0.178914757
NRN1,0.25522311,-0.312066347,-0.309999454,-0.274534033,0.363022106,-0.318975774,0.703584784,-0.325761961,1.178670411,-0.343832189,-0.284478289,-0.318023833,0.267127092,-0.322036458,0.051275193,-0.163233541,0.460168686
UQCRH,0.128648429,-0.370909411,-0.305710115,-0.337108481,0.26723361,0.037967705,0.44050177,0.355887761,0.937800843,-0.433074436,-0.338261469,0.075280768,0.166064545,0.111338819,0.144024606,-0.21403138,0.187216903
SCN1A-AS1,0.092648976,-0.372639993,-0.357595246,0.147872665,0.36674577,-0.14531297,0.077994787,1.796891403,-0.347883686,-0.37315305,-0.359672647,0.241525221,-0.102964142,0.253782287,-0.102900497,-0.336608136,-0.01865965
HSPH1,0.260214484,-0.372218399,-0.355458328,-0.215187798,0.326407667,-0.0013584,0.240899197,0.031079757,0.639126307,-0.463194644,-0.149362488,0.138058231,0.4136264,0.028491973,0.204052713,-0.149299005,-0.109619486
EPHA7,0.104764188,-0.386060702,-0.398211935,-0.40429732,0.096963842,0.39618521,0.533005351,0.436197368,-0.239388184,-0.388989427,-0.391680514,0.674739886,0.509914078,0.481329779,0.886074267,-0.253627693,0.818694916
PLCH1,-0.047421556,-0.310758181,0.155732606,-0.307911344,0.755268642,-0.173301043,0.069078215,0.50153996,-0.184436096,-0.308184257,-0.297959629,1.585323598,-0.271515685,-0.283806602,-0.192721434,-0.152631221,-0.211634708
AP2M1,0.177053067,-0.325107377,-0.327229629,-0.331912752,0.283259468,-0.026269473,0.3838079,0.170704293,0.96785452,-0.413509608,-0.376628448,-0.090276111,0.308506151,0.100268885,0.181783246,-0.168436322,0.251089083
NAP1L3,0.029584912,-0.342675742,-0.373580767,-0.305272193,0.28894273,0.500291398,0.485511667,0.244033981,0.462198748,-0.365034715,-0.368885301,0.300809026,0.092277856,0.520858947,0.234212221,-0.308894941,0.254934117
RGS12,-0.043455063,-0.307344836,-0.036380839,0.049494728,-0.30037226,1.955864402,-0.305157403,-0.220515659,-0.314636211,-0.190916399,0.136386867,-0.274702984,0.369176898,0.580838619,-0.257368911,-0.257410345,-0.148603687
HPCA,0.246970329,-0.359155572,-0.354999791,-0.324105037,0.687000831,0.077367387,0.837274248,-0.289460174,0.688989085,-0.401453417,-0.336426173,-0.342528597,0.16801083,-0.124973235,-0.001854859,-0.293594764,-0.016309093
CDHR3,-0.079883172,-0.362748447,1.02601797,-0.370844936,0.146168805,0.0269153,0.30622747,-0.208469754,-0.339322104,-0.360402632,-0.211524061,-0.341225459,-0.013058743,0.797470841,0.525711885,-0.323700716,-0.047739461
LINC01414,0.15386812,-0.404279773,-0.106900762,-0.378198464,1.218712748,0.185639204,0.547962178,0.157281609,-0.379228303,-0.405539107,-0.381888489,-0.074156261,0.165369394,-0.20568646,0.198350396,-0.377867085,0.405281752
SERPINI1,0.300478771,-0.343336634,-0.554355332,-0.605187029,0.648570648,-0.263864096,0.482937686,0.598665749,0.776972555,-0.255208457,-0.618771086,0.045379107,0.296167313,-0.032157992,0.185769556,-0.551666152,0.27341936
CALM1,0.352058196,-0.404527589,-0.553694205,-0.650326021,0.37261328,0.059681523,0.508165319,-0.034747527,1.613688861,-0.577984269,-0.640085246,-0.036520022,0.338353967,0.113974267,0.264987826,-0.199653773,0.064416963
CPLX1,0.103765276,-0.377261786,-0.33949847,-0.34770213,0.060138094,-0.030246307,0.332488423,1.191949489,0.563915419,-0.362484414,-0.357846232,0.226126886,0.232821431,-0.028475342,0.135683995,-0.220505988,0.346081193
AC008415.1,-0.034865306,-0.282501075,-0.274310784,-0.27762382,0.930580373,-0.130311626,2.100311613,-0.163772556,-0.256576861,-0.284992299,-0.271670308,-0.176556458,-0.194324998,-0.260759663,-0.225266938,-0.260419581,0.43581016
GRM8,0.036416065,-0.342716601,-0.34394764,-0.065332192,0.028043145,-0.000748488,0.975124397,0.578745346,-0.280810726,-0.332676051,-0.360023014,0.013267357,0.071025879,0.25486572,0.333300533,1.015031843,2.322076812
PPARGC1A,0.283419487,-0.416542665,0.241749799,-0.01586297,0.10596333,-0.165356689,-0.087098622,1.004195473,-0.299262503,-0.409240646,-0.388759902,-0.007065523,0.020865398,-0.280312674,0.06019226,-0.362021927,-0.118062451
TIMP3,0.227712081,-0.375555369,0.600156524,0.211652356,-0.020618136,-0.035031565,-0.188526551,-0.101584355,-0.363118047,-0.384503943,-0.327244351,-0.261029046,0.226669521,-0.05660339,-0.291209332,1.416807686,-0.335879532
CPLX2,0.311482233,-0.422233665,-0.402227796,-0.39977228,0.077213709,0.383230479,0.382858982,-0.199979247,0.625975983,-0.421413721,-0.400735193,0.155311953,0.526806309,0.28044387,0.467703243,-0.353218051,0.734522531
EPHA3,0.227552618,-0.286455536,-0.385141569,-0.386139167,0.588319398,-0.01426561,1.207932446,-0.05933291,-0.326930277,-0.245956299,-0.372918409,-0.353642717,-0.147918709,0.859932201,0.234236852,0.424495018,-0.285540403
